1	15	0	0.534013823	1
2	28	0	0.097975408	0
3	20	0	0.665846132	1
4	17	0	0.301875138	2
5	15	0	0.085013305	0
6	17	0	0.830669832	1
7	17	0	0.362345013	2
8	16	1	0.024828302	0
9	16	1	0.005931986	0
10	18	0	0.645357581	1
11	18	0	0.19950691	2
12	31	0	0.101365405	0
13	18	0	0.50929231	1
14	17	0	0.858071729	2
15	27	0	0.102971305	0
16	20	0	0.739233907	1
17	18	0	0.334441477	2
18	15	1	0.103252218	0
19	22	0	0.867294999	1
20	20	0	0.066676662	2
21	16	0	0.103238327	0
22	27	0	0.217890376	0
23	15	1	0.245616538	0
24	24	1	0.286834452	0
25	11	0	0.098301888	0
26	22	0	0.263791196	0
27	11	0	0.342555044	0
28	13	1	0.037879549	0
29	19	1	0.222280724	0
30	10	1	0.185542377	0
31	15	0	0.494414676	2
32	13	0	0.771875062	2
33	17	0	0.475857262	2
34	26	0	0.336022472	2
35	13	1	0.099996745	2
36	13	1	0.546028888	2
37	18	0	0.642558393	1
38	17	0	0.342567022	1
39	18	0	0.31591157	1
40	21	0	0.353726788	1
41	19	0	0.510710338	1
42	23	0	0.245490888	1
43	11	0	0.537553532	1
44	11	1	0.565439758	1
